K = 7;

P = [ 36 41 31 42 24 7 4 ];
R = [ 21 49 45 20 8 1 40 ];
A = [ 4 4 5 6 4 6 5 ];
C = [ 16 12 26 13 26 4 8 ];
N = 23;

M = [
    [ 0 24 50 15 31 36 43 50 50 37 34 50 50 50 1 50 50 50 35 50 25 41 50 ]
    [ 24 0 29 35 12 16 50 50 16 50 50 22 50 50 50 19 50 50 50 42 28 22 50 ]
    [ 50 29 0 50 49 10 50 31 50 23 50 30 50 36 50 2 50 50 50 50 9 24 21 ]
    [ 15 35 50 0 19 50 50 41 50 50 50 20 50 46 50 1 4 27 50 43 50 3 50 ]
    [ 31 12 49 19 0 50 50 44 50 4 50 50 50 50 50 20 50 50 50 20 50 50 44 ]
    [ 36 16 10 50 50 0 50 4 1 50 50 50 50 50 41 47 11 30 11 50 8 50 50 ]
    [ 43 50 50 50 50 50 0 21 50 49 50 50 34 29 50 8 42 50 50 50 31 7 50 ]
    [ 50 50 31 41 44 4 21 0 22 50 50 39 50 50 27 50 7 50 45 22 50 50 50 ]
    [ 50 16 50 50 50 1 50 22 0 18 50 29 11 9 40 14 15 11 17 50 31 50 24 ]
    [ 37 50 23 50 4 50 49 50 18 0 40 42 50 35 6 50 8 17 6 3 50 50 50 ]
    [ 34 50 50 50 50 50 50 50 50 40 0 48 48 50 50 50 50 8 50 8 24 50 50 ]
    [ 50 22 30 20 50 50 50 39 29 42 48 0 4 50 50 26 37 13 50 50 17 47 50 ]
    [ 50 50 50 50 50 50 34 50 11 50 48 4 0 43 18 50 50 50 50 50 38 41 50 ]
    [ 50 50 36 46 50 50 29 50 9 35 50 50 43 0 50 16 15 5 27 46 50 18 50 ]
    [ 1 50 50 50 50 41 50 27 40 6 50 50 18 50 0 50 18 50 50 10 50 6 50 ]
    [ 50 19 2 1 20 47 8 50 14 50 50 26 50 16 50 0 50 26 13 50 50 15 24 ]
    [ 50 50 50 4 50 11 42 7 15 8 50 37 50 15 18 50 0 50 50 46 38 50 50 ]
    [ 50 50 50 27 50 30 50 50 11 17 8 13 50 5 50 26 50 0 47 35 18 50 50 ]
    [ 35 50 50 50 50 11 50 45 17 6 50 50 50 27 50 13 50 47 0 2 50 50 50 ]
    [ 50 42 50 43 20 50 50 22 50 3 8 50 50 46 10 50 46 35 2 0 45 45 50 ]
    [ 25 28 9 50 50 8 31 50 31 50 24 17 38 50 50 50 38 18 50 45 0 50 50 ]
    [ 41 22 24 3 50 50 7 50 50 50 50 47 41 18 6 15 50 50 50 45 50 0 50 ]
    [ 50 50 21 50 44 50 50 50 24 50 50 50 50 50 50 24 50 50 50 50 50 50 0 ]
];
