K=2;
N=32;
P=[994 620];
R=[35 36];
A=[2 6];
C=[15 60];
M=[
[ 0 43 96 26 7 42 29 41 42 37 60 34 20 1 99 49 11 18 89 63 27 14 12 43 47 74 31 51 20 60 17 5 ]
[ 43 0 99 6 78 28 94 15 52 90 96 1 20 10 15 48 1 6 71 9 79 61 25 62 89 72 89 86 58 92 70 99 ]
[ 96 99 0 83 82 89 75 77 35 41 99 22 48 23 73 8 73 91 81 42 34 32 0 18 50 64 9 64 52 83 76 79 ]
[ 26 6 83 0 60 9 80 53 49 51 6 82 79 52 97 97 76 76 72 59 92 41 8 65 95 24 83 41 35 29 73 86 ]
[ 7 78 82 60 0 39 79 36 87 69 81 93 59 17 99 48 3 99 63 27 60 34 45 53 55 24 97 86 20 0 44 42 ]
[ 42 28 89 9 39 0 32 49 46 34 18 53 79 18 19 80 31 2 37 79 100 6 67 77 44 51 7 60 44 96 50 37 ]
[ 29 94 75 80 79 32 0 34 98 38 55 86 83 92 19 75 80 4 97 37 36 73 49 100 65 38 48 38 100 53 21 53 ]
[ 41 15 77 53 36 49 34 0 94 23 48 17 68 5 79 13 64 81 84 3 18 65 43 86 95 32 77 32 90 75 66 37 ]
[ 42 52 35 49 87 46 98 94 0 11 69 10 69 42 95 3 56 31 95 61 98 38 96 63 46 29 77 84 57 8 22 11 ]
[ 37 90 41 51 69 34 38 23 11 0 80 27 53 7 64 98 47 66 84 13 43 15 31 25 35 32 0 10 13 26 79 98 ]
[ 60 96 99 6 81 18 55 48 69 80 0 65 97 37 26 47 16 63 76 77 33 14 85 62 3 77 79 69 33 87 0 62 ]
[ 34 1 22 82 93 53 86 17 10 27 65 0 64 11 71 44 53 16 85 82 32 94 97 19 89 47 39 44 49 18 99 40 ]
[ 20 20 48 79 59 79 83 68 69 53 97 64 0 86 87 59 75 41 96 65 3 44 69 9 85 25 31 4 14 3 52 5 ]
[ 1 10 23 52 17 18 92 5 42 7 37 11 86 0 86 91 90 65 10 23 92 11 59 24 60 82 67 40 73 8 17 20 ]
[ 99 15 73 97 99 19 19 79 95 64 26 71 87 86 0 100 27 0 51 64 88 81 90 22 97 55 68 61 82 70 67 65 ]
[ 49 48 8 97 48 80 75 13 3 98 47 44 59 91 100 0 12 73 21 71 96 44 74 60 12 88 70 21 79 78 43 51 ]
[ 11 1 73 76 3 31 80 64 56 47 16 53 75 90 27 12 0 53 69 50 24 69 27 2 81 71 83 93 41 97 36 44 ]
[ 18 6 91 76 99 2 4 81 31 66 63 16 41 65 0 73 53 0 31 67 90 27 75 70 53 34 72 90 42 8 62 5 ]
[ 89 71 81 72 63 37 97 84 95 84 76 85 96 10 51 21 69 31 0 30 25 95 97 47 92 21 11 98 86 70 84 85 ]
[ 63 9 42 59 27 79 37 3 61 13 77 82 65 23 64 71 50 67 30 0 76 41 71 17 15 75 31 93 74 3 96 9 ]
[ 27 79 34 92 60 100 36 18 98 43 33 32 3 92 88 96 24 90 25 76 0 18 52 81 33 14 89 88 24 52 94 58 ]
[ 14 61 32 41 34 6 73 65 38 15 14 94 44 11 81 44 69 27 95 41 18 0 56 20 33 65 32 53 95 98 13 88 ]
[ 12 25 0 8 45 67 49 43 96 31 85 97 69 59 90 74 27 75 97 71 52 56 0 88 27 31 66 42 37 92 23 25 ]
[ 43 62 18 65 53 77 100 86 63 25 62 19 9 24 22 60 2 70 47 17 81 20 88 0 42 35 73 32 27 85 54 94 ]
[ 47 89 50 95 55 44 65 95 46 35 3 89 85 60 97 12 81 53 92 15 33 33 27 42 0 75 7 40 90 37 100 70 ]
[ 74 72 64 24 24 51 38 32 29 32 77 47 25 82 55 88 71 34 21 75 14 65 31 35 75 0 87 76 5 10 93 66 ]
[ 31 89 9 83 97 7 48 77 77 0 79 39 31 67 68 70 83 72 11 31 89 32 66 73 7 87 0 9 98 78 67 92 ]
[ 51 86 64 41 86 60 38 32 84 10 69 44 4 40 61 21 93 90 98 93 88 53 42 32 40 76 9 0 39 47 36 93 ]
[ 20 58 52 35 20 44 100 90 57 13 33 49 14 73 82 79 41 42 86 74 24 95 37 27 90 5 98 39 0 18 20 86 ]
[ 60 92 83 29 0 96 53 75 8 26 87 18 3 8 70 78 97 8 70 3 52 98 92 85 37 10 78 47 18 0 86 16 ]
[ 17 70 76 73 44 50 21 66 22 79 0 99 52 17 67 43 36 62 84 96 94 13 23 54 100 93 67 36 20 86 0 74 ]
[ 5 99 79 86 42 37 53 37 11 98 62 40 5 20 65 51 44 5 85 9 58 88 25 94 70 66 92 93 86 16 74 0 ]
];
