K=4;
N=28;
P=[876 777 797 425];
R=[20 36 17 40];
A=[5 5 6 5];
C=[60 14 33 30];
M=[
[ 0 16 27 37 10 71 34 100 88 72 31 50 53 72 64 71 71 65 66 10 3 2 59 51 90 1 51 79 ]
[ 16 0 19 1 34 7 12 49 78 79 59 97 5 87 42 61 31 67 69 42 38 56 99 54 77 74 91 99 ]
[ 27 19 0 24 8 19 87 83 19 13 63 3 22 22 81 59 1 82 82 81 5 100 59 19 10 10 82 16 ]
[ 37 1 24 0 65 2 95 62 59 29 52 52 58 32 35 13 81 42 34 34 84 95 92 86 25 8 23 99 ]
[ 10 34 8 65 0 65 83 78 23 2 26 77 70 68 77 57 25 100 14 4 68 50 97 19 75 33 41 84 ]
[ 71 7 19 2 65 0 66 80 83 27 27 97 27 75 20 93 43 12 49 71 68 76 81 97 42 66 87 34 ]
[ 34 12 87 95 83 66 0 47 96 19 8 60 84 31 56 12 25 34 61 14 95 53 33 90 71 4 0 75 ]
[ 100 49 83 62 78 80 47 0 19 35 63 43 82 86 28 74 10 95 86 24 12 68 72 82 9 31 75 96 ]
[ 88 78 19 59 23 83 96 19 0 46 70 66 23 52 68 61 85 61 53 11 2 100 40 4 80 76 94 29 ]
[ 72 79 13 29 2 27 19 35 46 0 35 97 33 0 70 37 91 50 91 39 19 79 75 100 42 36 7 98 ]
[ 31 59 63 52 26 27 8 63 70 35 0 68 80 89 100 16 94 13 2 9 79 60 80 97 2 44 98 40 ]
[ 50 97 3 52 77 97 60 43 66 97 68 0 13 65 55 57 28 99 63 35 98 70 98 59 96 39 36 69 ]
[ 53 5 22 58 70 27 84 82 23 33 80 13 0 9 44 78 55 87 82 100 77 88 51 90 87 88 72 100 ]
[ 72 87 22 32 68 75 31 86 52 0 89 65 9 0 68 24 99 6 41 100 93 81 82 6 31 82 17 42 ]
[ 64 42 81 35 77 20 56 28 68 70 100 55 44 68 0 68 75 11 93 91 65 7 88 48 64 26 72 78 ]
[ 71 61 59 13 57 93 12 74 61 37 16 57 78 24 68 0 88 48 52 25 77 82 36 73 58 81 91 88 ]
[ 71 31 1 81 25 43 25 10 85 91 94 28 55 99 75 88 0 34 29 53 40 50 89 7 59 82 85 6 ]
[ 65 67 82 42 100 12 34 95 61 50 13 99 87 6 11 48 34 0 33 52 91 55 29 52 60 89 57 28 ]
[ 66 69 82 34 14 49 61 86 53 91 2 63 82 41 93 52 29 33 0 12 75 74 86 37 4 56 48 75 ]
[ 10 42 81 34 4 71 14 24 11 39 9 35 100 100 91 25 53 52 12 0 2 84 14 13 57 70 97 70 ]
[ 3 38 5 84 68 68 95 12 2 19 79 98 77 93 65 77 40 91 75 2 0 28 62 58 84 66 18 98 ]
[ 2 56 100 95 50 76 53 68 100 79 60 70 88 81 7 82 50 55 74 84 28 0 72 4 79 31 12 3 ]
[ 59 99 59 92 97 81 33 72 40 75 80 98 51 82 88 36 89 29 86 14 62 72 0 37 75 54 42 55 ]
[ 51 54 19 86 19 97 90 82 4 100 97 59 90 6 48 73 7 52 37 13 58 4 37 0 33 16 31 53 ]
[ 90 77 10 25 75 42 71 9 80 42 2 96 87 31 64 58 59 60 4 57 84 79 75 33 0 27 93 36 ]
[ 1 74 10 8 33 66 4 31 76 36 44 39 88 82 26 81 82 89 56 70 66 31 54 16 27 0 52 69 ]
[ 51 91 82 23 41 87 0 75 94 7 98 36 72 17 72 91 85 57 48 97 18 12 42 31 93 52 0 42 ]
[ 79 99 16 99 84 34 75 96 29 98 40 69 100 42 78 88 6 28 75 70 98 3 55 53 36 69 42 0 ]
];
