K=4;
N=40;
P=[493 578 794 299];
R=[23 16 44 48];
A=[2 6 3 5];
C=[59 41 47 34];
M=[
[ 0 57 26 15 63 99 99 62 40 67 51 83 19 4 15 13 14 22 37 84 94 21 33 2 81 64 2 9 27 100 79 78 61 88 2 75 40 31 58 71 ]
[ 57 0 60 19 4 41 77 18 61 64 45 33 55 46 15 22 54 45 66 79 14 85 18 34 88 55 75 33 46 39 78 16 45 63 82 43 16 17 21 40 ]
[ 26 60 0 86 99 3 68 61 48 9 71 49 94 91 43 100 30 15 73 37 85 62 4 52 32 42 52 32 21 52 85 77 55 99 35 60 43 26 82 80 ]
[ 15 19 86 0 79 22 54 20 100 1 39 100 24 90 96 63 38 87 54 61 12 62 18 16 45 81 22 83 73 27 61 98 10 79 77 69 100 88 49 14 ]
[ 63 4 99 79 0 59 68 77 66 52 62 97 15 52 24 95 19 56 73 15 54 57 52 73 76 82 89 66 80 46 65 95 84 83 87 60 39 34 31 12 ]
[ 99 41 3 22 59 0 55 61 91 88 60 72 38 43 46 0 84 5 34 53 65 69 30 11 92 53 69 39 70 68 70 5 10 100 98 34 92 9 83 75 ]
[ 99 77 68 54 68 55 0 40 69 58 29 20 14 59 66 58 51 62 63 86 58 82 60 51 8 34 91 12 96 66 45 14 65 80 22 22 26 57 73 93 ]
[ 62 18 61 20 77 61 40 0 4 11 18 14 83 56 6 64 51 58 6 74 44 23 74 16 78 7 88 40 86 9 24 11 34 74 23 27 7 69 78 29 ]
[ 40 61 48 100 66 91 69 4 0 61 13 96 3 88 8 87 45 19 29 47 55 8 36 100 1 52 88 14 3 100 23 48 88 89 83 4 60 75 20 94 ]
[ 67 64 9 1 52 88 58 11 61 0 87 97 26 99 50 71 32 78 44 73 26 77 93 22 70 8 73 92 15 90 97 100 72 6 39 97 80 39 9 99 ]
[ 51 45 71 39 62 60 29 18 13 87 0 63 67 41 57 56 58 89 51 44 91 47 39 66 91 70 36 90 74 70 35 27 86 18 85 13 4 20 38 46 ]
[ 83 33 49 100 97 72 20 14 96 97 63 0 49 17 25 36 50 86 97 19 18 66 83 24 10 16 40 96 82 81 89 20 84 62 77 69 45 96 22 56 ]
[ 19 55 94 24 15 38 14 83 3 26 67 49 0 66 74 97 33 30 67 90 100 9 78 40 0 53 1 13 59 36 95 30 7 51 35 5 36 31 83 71 ]
[ 4 46 91 90 52 43 59 56 88 99 41 17 66 0 33 1 95 8 16 18 27 97 13 12 49 33 60 80 13 62 19 29 51 80 58 18 89 51 61 58 ]
[ 15 15 43 96 24 46 66 6 8 50 57 25 74 33 0 67 5 42 86 76 20 75 95 15 1 51 13 24 55 50 53 58 87 12 59 48 48 82 61 79 ]
[ 13 22 100 63 95 0 58 64 87 71 56 36 97 1 67 0 26 92 6 8 90 50 57 74 91 78 90 84 94 70 85 66 32 41 63 48 20 20 40 18 ]
[ 14 54 30 38 19 84 51 51 45 32 58 50 33 95 5 26 0 10 64 20 74 75 70 64 28 97 68 73 47 24 80 88 70 3 0 31 4 54 57 95 ]
[ 22 45 15 87 56 5 62 58 19 78 89 86 30 8 42 92 10 0 59 22 48 62 25 9 53 27 94 54 63 65 32 38 16 90 29 1 44 49 86 31 ]
[ 37 66 73 54 73 34 63 6 29 44 51 97 67 16 86 6 64 59 0 85 89 95 28 45 99 90 96 47 94 63 9 9 40 45 63 76 66 68 96 55 ]
[ 84 79 37 61 15 53 86 74 47 73 44 19 90 18 76 8 20 22 85 0 9 33 53 28 8 44 69 46 71 82 40 54 50 27 52 79 52 52 42 74 ]
[ 94 14 85 12 54 65 58 44 55 26 91 18 100 27 20 90 74 48 89 9 0 75 53 26 96 68 64 46 15 21 26 14 25 32 19 40 35 93 38 16 ]
[ 21 85 62 62 57 69 82 23 8 77 47 66 9 97 75 50 75 62 95 33 75 0 6 23 80 58 49 90 50 48 10 33 36 75 68 21 53 24 39 37 ]
[ 33 18 4 18 52 30 60 74 36 93 39 83 78 13 95 57 70 25 28 53 53 6 0 36 17 12 93 12 75 35 48 44 98 11 5 19 11 15 74 3 ]
[ 2 34 52 16 73 11 51 16 100 22 66 24 40 12 15 74 64 9 45 28 26 23 36 0 20 48 98 86 12 10 76 77 81 68 0 53 29 39 56 68 ]
[ 81 88 32 45 76 92 8 78 1 70 91 10 0 49 1 91 28 53 99 8 96 80 17 20 0 41 79 7 93 62 83 64 95 95 64 76 54 28 9 19 ]
[ 64 55 42 81 82 53 34 7 52 8 70 16 53 33 51 78 97 27 90 44 68 58 12 48 41 0 82 24 78 1 6 80 41 57 44 79 18 23 58 66 ]
[ 2 75 52 22 89 69 91 88 88 73 36 40 1 60 13 90 68 94 96 69 64 49 93 98 79 82 0 90 58 24 63 87 56 90 65 23 18 14 91 86 ]
[ 9 33 32 83 66 39 12 40 14 92 90 96 13 80 24 84 73 54 47 46 46 90 12 86 7 24 90 0 100 45 83 36 25 39 43 75 16 28 84 88 ]
[ 27 46 21 73 80 70 96 86 3 15 74 82 59 13 55 94 47 63 94 71 15 50 75 12 93 78 58 100 0 42 33 72 68 77 73 77 80 82 29 20 ]
[ 100 39 52 27 46 68 66 9 100 90 70 81 36 62 50 70 24 65 63 82 21 48 35 10 62 1 24 45 42 0 72 3 70 76 10 62 47 92 14 46 ]
[ 79 78 85 61 65 70 45 24 23 97 35 89 95 19 53 85 80 32 9 40 26 10 48 76 83 6 63 83 33 72 0 64 19 19 14 52 42 96 98 63 ]
[ 78 16 77 98 95 5 14 11 48 100 27 20 30 29 58 66 88 38 9 54 14 33 44 77 64 80 87 36 72 3 64 0 30 78 15 63 63 41 35 59 ]
[ 61 45 55 10 84 10 65 34 88 72 86 84 7 51 87 32 70 16 40 50 25 36 98 81 95 41 56 25 68 70 19 30 0 3 84 55 3 100 98 42 ]
[ 88 63 99 79 83 100 80 74 89 6 18 62 51 80 12 41 3 90 45 27 32 75 11 68 95 57 90 39 77 76 19 78 3 0 37 16 54 32 82 23 ]
[ 2 82 35 77 87 98 22 23 83 39 85 77 35 58 59 63 0 29 63 52 19 68 5 0 64 44 65 43 73 10 14 15 84 37 0 68 39 71 27 68 ]
[ 75 43 60 69 60 34 22 27 4 97 13 69 5 18 48 48 31 1 76 79 40 21 19 53 76 79 23 75 77 62 52 63 55 16 68 0 43 84 81 10 ]
[ 40 16 43 100 39 92 26 7 60 80 4 45 36 89 48 20 4 44 66 52 35 53 11 29 54 18 18 16 80 47 42 63 3 54 39 43 0 19 43 36 ]
[ 31 17 26 88 34 9 57 69 75 39 20 96 31 51 82 20 54 49 68 52 93 24 15 39 28 23 14 28 82 92 96 41 100 32 71 84 19 0 20 81 ]
[ 58 21 82 49 31 83 73 78 20 9 38 22 83 61 61 40 57 86 96 42 38 39 74 56 9 58 91 84 29 14 98 35 98 82 27 81 43 20 0 62 ]
[ 71 40 80 14 12 75 93 29 94 99 46 56 71 58 79 18 95 31 55 74 16 37 3 68 19 66 86 88 20 46 63 59 42 23 68 10 36 81 62 0 ]
];
