K=8;
N=12;
P=[396 534 630 943 555 809 207 677];
R=[30 45 45 37 3 21 45 39];
A=[2 6 3 4 4 6 6 2];
C=[49 50 35 26 42 47 29 22];
M=[
[ 0 28 62 31 95 49 28 35 77 59 34 22 ]
[ 28 0 18 89 52 97 61 23 49 91 67 34 ]
[ 62 18 0 40 50 86 32 37 25 56 13 86 ]
[ 31 89 40 0 49 29 24 17 7 68 78 43 ]
[ 95 52 50 49 0 46 14 21 9 76 99 100 ]
[ 49 97 86 29 46 0 62 59 88 89 88 43 ]
[ 28 61 32 24 14 62 0 79 42 40 97 48 ]
[ 35 23 37 17 21 59 79 0 90 56 74 25 ]
[ 77 49 25 7 9 88 42 90 0 64 79 89 ]
[ 59 91 56 68 76 89 40 56 64 0 74 9 ]
[ 34 67 13 78 99 88 97 74 79 74 0 35 ]
[ 22 34 86 43 100 43 48 25 89 9 35 0 ]
];
