K=8;
N=16;
P=[426 292 718 208 231 782 380 938];
R=[44 11 17 14 20 46 40 41];
A=[4 6 2 4 5 4 6 4];
C=[53 60 49 55 37 35 24 69];
M=[
[ 0 33 48 33 42 8 8 3 93 38 55 2 42 95 52 6 ]
[ 33 0 83 53 75 43 99 79 5 38 38 4 15 7 80 78 ]
[ 48 83 0 29 83 24 49 57 92 73 30 85 29 1 14 54 ]
[ 33 53 29 0 62 46 58 98 62 3 30 56 7 85 58 8 ]
[ 42 75 83 62 0 88 77 20 58 74 24 15 96 84 61 96 ]
[ 8 43 24 46 88 0 41 12 89 92 93 40 97 72 39 54 ]
[ 8 99 49 58 77 41 0 12 69 27 59 4 14 99 12 48 ]
[ 3 79 57 98 20 12 12 0 72 42 89 30 4 45 79 2 ]
[ 93 5 92 62 58 89 69 72 0 87 5 84 25 42 88 56 ]
[ 38 38 73 3 74 92 27 42 87 0 62 46 89 21 67 15 ]
[ 55 38 30 30 24 93 59 89 5 62 0 40 6 48 69 62 ]
[ 2 4 85 56 15 40 4 30 84 46 40 0 35 66 89 95 ]
[ 42 15 29 7 96 97 14 4 25 89 6 35 0 12 14 43 ]
[ 95 7 1 85 84 72 99 45 42 21 48 66 12 0 18 85 ]
[ 52 80 14 58 61 39 12 79 88 67 69 89 14 18 0 83 ]
[ 6 78 54 8 96 54 48 2 56 15 62 95 43 85 83 0 ]
];
