K=8;
N=20;
P=[239 552 535 336 899 362 634 359];
R=[38 30 5 46 36 46 38 9];
A=[6 4 4 2 4 3 6 6];
C=[45 16 67 40 46 61 11 19];
M=[
[ 0 29 4 84 75 78 3 76 51 6 57 57 74 86 63 37 70 17 3 40 ]
[ 29 0 26 42 82 23 63 95 8 70 55 29 14 35 2 1 74 86 68 83 ]
[ 4 26 0 25 35 17 0 65 28 100 20 60 91 78 9 72 4 29 46 45 ]
[ 84 42 25 0 36 76 34 56 58 13 98 89 95 17 44 98 88 65 92 99 ]
[ 75 82 35 36 0 69 24 87 11 31 48 53 34 89 32 31 84 96 36 55 ]
[ 78 23 17 76 69 0 55 43 64 81 35 15 94 21 45 100 71 15 17 22 ]
[ 3 63 0 34 24 55 0 100 8 81 19 38 25 83 72 22 81 60 45 69 ]
[ 76 95 65 56 87 43 100 0 18 74 66 18 76 13 33 55 4 13 30 73 ]
[ 51 8 28 58 11 64 8 18 0 78 42 29 51 72 43 69 2 74 61 93 ]
[ 6 70 100 13 31 81 81 74 78 0 60 100 11 72 90 52 12 99 84 59 ]
[ 57 55 20 98 48 35 19 66 42 60 0 84 33 96 65 41 78 92 11 17 ]
[ 57 29 60 89 53 15 38 18 29 100 84 0 9 73 6 89 94 39 53 25 ]
[ 74 14 91 95 34 94 25 76 51 11 33 9 0 80 41 93 84 30 45 20 ]
[ 86 35 78 17 89 21 83 13 72 72 96 73 80 0 92 27 81 50 80 11 ]
[ 63 2 9 44 32 45 72 33 43 90 65 6 41 92 0 4 54 50 75 6 ]
[ 37 1 72 98 31 100 22 55 69 52 41 89 93 27 4 0 85 17 5 70 ]
[ 70 74 4 88 84 71 81 4 2 12 78 94 84 81 54 85 0 8 82 27 ]
[ 17 86 29 65 96 15 60 13 74 99 92 39 30 50 50 17 8 0 24 37 ]
[ 3 68 46 92 36 17 45 30 61 84 11 53 45 80 75 5 82 24 0 95 ]
[ 40 83 45 99 55 22 69 73 93 59 17 25 20 11 6 70 27 37 95 0 ]
];
