K=8;
N=24;
P=[559 836 207 371 510 253 571 939];
R=[47 44 23 21 25 22 19 42];
A=[3 6 4 5 6 4 5 4];
C=[66 27 16 52 70 27 38 30];
M=[
[ 0 32 68 7 79 25 2 99 6 95 27 56 79 54 12 84 92 7 2 92 38 8 58 33 ]
[ 32 0 28 47 85 12 36 33 42 4 21 27 64 57 80 77 36 46 84 76 23 16 79 87 ]
[ 68 28 0 10 23 36 97 31 27 64 49 57 84 98 89 99 22 66 31 68 50 47 14 69 ]
[ 7 47 10 0 48 90 63 48 72 27 97 65 79 99 76 97 42 1 67 94 100 86 41 49 ]
[ 79 85 23 48 0 60 26 62 79 29 14 52 60 94 10 20 70 87 22 79 66 77 66 15 ]
[ 25 12 36 90 60 0 71 8 30 65 49 49 26 85 59 20 62 68 72 26 39 0 56 59 ]
[ 2 36 97 63 26 71 0 13 82 51 5 34 33 30 16 33 30 38 61 19 41 72 28 60 ]
[ 99 33 31 48 62 8 13 0 52 71 40 65 92 15 78 13 1 3 86 98 27 25 63 93 ]
[ 6 42 27 72 79 30 82 52 0 36 13 75 94 29 98 59 51 9 36 60 76 64 12 89 ]
[ 95 4 64 27 29 65 51 71 36 0 33 45 89 27 94 45 3 82 24 57 3 40 12 2 ]
[ 27 21 49 97 14 49 5 40 13 33 0 100 1 54 66 11 88 92 53 50 56 52 17 37 ]
[ 56 27 57 65 52 49 34 65 75 45 100 0 27 37 32 86 20 7 30 88 31 59 5 61 ]
[ 79 64 84 79 60 26 33 92 94 89 1 27 0 26 15 90 55 47 13 33 37 39 67 41 ]
[ 54 57 98 99 94 85 30 15 29 27 54 37 26 0 26 4 7 39 98 90 86 71 8 98 ]
[ 12 80 89 76 10 59 16 78 98 94 66 32 15 26 0 21 6 46 19 83 55 40 96 3 ]
[ 84 77 99 97 20 20 33 13 59 45 11 86 90 4 21 0 21 59 60 57 13 16 41 29 ]
[ 92 36 22 42 70 62 30 1 51 3 88 20 55 7 6 21 0 37 75 1 78 87 83 33 ]
[ 7 46 66 1 87 68 38 3 9 82 92 7 47 39 46 59 37 0 40 29 44 95 76 16 ]
[ 2 84 31 67 22 72 61 86 36 24 53 30 13 98 19 60 75 40 0 79 24 87 48 35 ]
[ 92 76 68 94 79 26 19 98 60 57 50 88 33 90 83 57 1 29 79 0 39 11 63 33 ]
[ 38 23 50 100 66 39 41 27 76 3 56 31 37 86 55 13 78 44 24 39 0 98 95 19 ]
[ 8 16 47 86 77 0 72 25 64 40 52 59 39 71 40 16 87 95 87 11 98 0 29 89 ]
[ 58 79 14 41 66 56 28 63 12 12 17 5 67 8 96 41 83 76 48 63 95 29 0 89 ]
[ 33 87 69 49 15 59 60 93 89 2 37 61 41 98 3 29 33 16 35 33 19 89 89 0 ]
];
