K=11;
N=34;
P=[20 25 88 59 46 27 13 16 92 82 45];
R=[47 40 36 17 37 33 24 22 11 9 25];
A=[2 6 6 5 5 5 2 3 3 2 6];
C=[44 9 5 26 38 48 13 40 44 9 48];
M=[
[ 0 39 0 15 45 18 50 50 4 50 50 1 5 50 0 9 19 34 26 30 50 50 50 19 27 29 31 50 0 50 15 39 50 34 ]
[ 39 0 9 50 50 50 50 50 50 50 50 27 50 2 50 50 50 50 50 19 50 50 50 11 2 50 41 50 37 3 43 50 50 50 ]
[ 0 9 0 49 50 50 3 24 40 50 50 19 50 50 27 50 50 32 12 50 9 50 50 50 2 50 0 45 43 48 27 1 11 41 ]
[ 15 50 49 0 50 26 27 9 50 50 25 50 50 43 50 50 26 50 50 50 50 50 9 22 50 27 45 13 25 8 50 50 50 7 ]
[ 45 50 50 50 0 50 50 10 50 1 31 50 50 16 41 50 50 22 50 50 50 50 13 50 50 16 5 23 34 13 23 0 50 29 ]
[ 18 50 50 26 50 0 50 50 4 4 34 39 40 22 50 39 5 50 37 50 50 50 1 11 50 7 14 50 17 48 47 50 1 50 ]
[ 50 50 3 27 50 50 0 13 31 7 50 35 50 50 50 50 25 40 29 50 25 20 50 18 25 4 50 50 50 9 45 32 50 50 ]
[ 50 50 24 9 10 50 13 0 50 32 50 50 50 50 5 50 42 44 8 50 15 50 20 30 50 24 42 47 50 10 50 50 6 50 ]
[ 4 50 40 50 50 4 31 50 0 50 20 49 50 1 50 50 26 50 50 3 0 33 50 39 50 6 50 50 50 17 50 37 50 50 ]
[ 50 50 50 50 1 4 7 32 50 0 28 50 50 50 32 19 50 50 31 37 19 12 38 50 28 50 26 50 50 50 50 36 16 50 ]
[ 50 50 50 25 31 34 50 50 20 28 0 50 50 50 50 3 4 50 6 50 50 12 4 38 26 50 50 20 50 50 20 50 50 35 ]
[ 1 27 19 50 50 39 35 50 49 50 50 0 20 50 50 50 29 21 3 50 50 24 50 19 39 29 50 3 50 50 50 42 48 50 ]
[ 5 50 50 50 50 40 50 50 50 50 50 20 0 30 50 12 24 23 50 19 21 21 17 6 43 50 50 50 27 50 50 50 36 14 ]
[ 50 2 50 43 16 22 50 50 1 50 50 50 30 0 50 50 50 4 28 50 50 47 50 3 50 19 26 33 50 39 30 24 0 37 ]
[ 0 50 27 50 41 50 50 5 50 32 50 50 50 50 0 50 50 50 15 38 45 50 50 47 25 21 44 50 50 50 40 40 34 8 ]
[ 9 50 50 50 50 39 50 50 50 19 3 50 12 50 50 0 50 44 45 50 50 28 5 50 50 50 48 50 50 37 50 50 50 0 ]
[ 19 50 50 26 50 5 25 42 26 50 4 29 24 50 50 50 0 46 50 50 50 50 50 50 50 50 44 32 50 50 21 50 50 28 ]
[ 34 50 32 50 22 50 40 44 50 50 50 21 23 4 50 44 46 0 13 11 16 2 13 50 3 50 50 50 29 8 50 11 50 50 ]
[ 26 50 12 50 50 37 29 8 50 31 6 3 50 28 15 45 50 13 0 50 6 4 50 50 10 7 50 50 50 18 50 25 50 50 ]
[ 30 19 50 50 50 50 50 50 3 37 50 50 19 50 38 50 50 11 50 0 2 50 50 50 35 39 22 19 9 0 30 50 50 50 ]
[ 50 50 9 50 50 50 25 15 0 19 50 50 21 50 45 50 50 16 6 2 0 36 14 47 50 50 27 34 8 50 50 50 50 2 ]
[ 50 50 50 50 50 50 20 50 33 12 12 24 21 47 50 28 50 2 4 50 36 0 28 35 50 50 34 50 43 50 45 50 41 50 ]
[ 50 50 50 9 13 1 50 20 50 38 4 50 17 50 50 5 50 13 50 50 14 28 0 44 50 45 10 50 50 50 50 3 50 50 ]
[ 19 11 50 22 50 11 18 30 39 50 38 19 6 3 47 50 50 50 50 50 47 35 44 0 50 50 9 41 50 37 50 50 50 50 ]
[ 27 2 2 50 50 50 25 50 50 28 26 39 43 50 25 50 50 3 10 35 50 50 50 50 0 8 50 50 50 50 50 38 2 50 ]
[ 29 50 50 27 16 7 4 24 6 50 50 29 50 19 21 50 50 50 7 39 50 50 45 50 8 0 7 5 11 27 50 43 50 8 ]
[ 31 41 0 45 5 14 50 42 50 26 50 50 50 26 44 48 44 50 50 22 27 34 10 9 50 7 0 50 24 36 50 39 48 31 ]
[ 50 50 45 13 23 50 50 47 50 50 20 3 50 33 50 50 32 50 50 19 34 50 50 41 50 5 50 0 50 6 21 34 30 12 ]
[ 0 37 43 25 34 17 50 50 50 50 50 50 27 50 50 50 50 29 50 9 8 43 50 50 50 11 24 50 0 18 15 4 50 50 ]
[ 50 3 48 8 13 48 9 10 17 50 50 50 50 39 50 37 50 8 18 0 50 50 50 37 50 27 36 6 18 0 50 7 50 50 ]
[ 15 43 27 50 23 47 45 50 50 50 20 50 50 30 40 50 21 50 50 30 50 45 50 50 50 50 50 21 15 50 0 32 8 50 ]
[ 39 50 1 50 0 50 32 50 37 36 50 42 50 24 40 50 50 11 25 50 50 50 3 50 38 43 39 34 4 7 32 0 33 40 ]
[ 50 50 11 50 50 1 50 6 50 16 50 48 36 0 34 50 50 50 50 50 50 41 50 50 2 50 48 30 50 50 8 33 0 50 ]
[ 34 50 41 7 29 50 50 50 50 50 35 50 14 37 8 0 28 50 50 50 2 50 50 50 50 8 31 12 50 50 50 40 50 0 ]
];
