K=14;
N=36;
P=[4 65 51 30 88 21 71 35 15 82 30 74 92 60];
R=[33 34 46 33 44 38 18 6 33 3 7 45 42 34];
A=[4 6 3 2 5 6 4 3 5 2 6 4 6 4];
C=[41 17 6 41 49 26 25 21 17 25 14 37 19 37];
M=[
[ 0 0 26 50 50 49 11 50 39 3 50 50 3 50 50 50 34 50 50 50 36 32 26 10 50 50 50 50 36 50 45 12 50 50 50 50 ]
[ 0 0 50 26 25 31 50 50 50 25 50 26 50 45 50 50 50 50 11 50 50 50 50 50 50 5 50 50 50 50 50 50 48 50 30 50 ]
[ 26 50 0 1 13 14 24 23 50 50 3 2 50 50 50 50 50 50 33 50 14 50 50 50 50 50 50 10 50 50 43 50 50 47 50 50 ]
[ 50 26 1 0 50 18 50 50 45 9 42 48 23 50 24 7 15 50 50 50 50 42 22 50 3 50 50 50 47 19 50 50 7 37 50 5 ]
[ 50 25 13 50 0 50 9 30 50 49 50 50 28 50 34 12 33 50 48 50 15 50 50 50 50 50 26 50 4 50 41 50 36 50 50 13 ]
[ 49 31 14 18 50 0 23 1 1 50 28 50 50 4 33 50 15 50 2 43 50 50 49 40 50 32 50 2 21 5 50 50 47 23 50 16 ]
[ 11 50 24 50 9 23 0 50 6 11 39 38 50 14 50 41 19 41 5 50 50 26 50 49 50 0 47 50 39 27 50 50 4 50 42 38 ]
[ 50 50 23 50 30 1 50 0 50 14 50 50 50 50 50 33 50 50 50 7 50 7 31 50 42 50 47 50 50 50 50 50 6 50 1 50 ]
[ 39 50 50 45 50 1 6 50 0 50 50 10 34 27 50 50 46 50 50 23 50 3 36 50 50 28 50 50 50 4 7 50 50 50 35 50 ]
[ 3 25 50 9 49 50 11 14 50 0 31 9 50 50 50 50 40 14 50 50 50 16 20 50 18 20 50 6 13 13 50 50 49 50 34 47 ]
[ 50 50 3 42 50 28 39 50 50 31 0 6 50 50 50 50 8 50 50 50 14 50 34 30 50 46 3 44 24 21 20 50 45 32 50 50 ]
[ 50 26 2 48 50 50 38 50 10 9 6 0 50 50 36 2 50 5 50 50 50 48 50 15 42 50 5 41 50 25 50 50 30 36 22 50 ]
[ 3 50 50 23 28 50 50 50 34 50 50 50 0 29 50 30 50 43 20 50 50 50 44 50 50 38 50 50 50 50 50 22 27 3 50 2 ]
[ 50 45 50 50 50 4 14 50 27 50 50 50 29 0 50 46 20 28 50 50 21 22 50 10 50 10 50 50 50 50 50 10 50 50 26 50 ]
[ 50 50 50 24 34 33 50 50 50 50 50 36 50 50 0 50 8 50 50 50 50 2 50 0 50 50 50 50 16 50 41 50 29 50 3 50 ]
[ 50 50 50 7 12 50 41 33 50 50 50 2 30 46 50 0 50 50 32 8 50 50 50 22 50 36 17 26 38 5 50 2 50 50 50 23 ]
[ 34 50 50 15 33 15 19 50 46 40 8 50 50 20 8 50 0 43 39 50 50 15 50 46 20 50 50 26 4 39 50 12 50 41 1 4 ]
[ 50 50 50 50 50 50 41 50 50 14 50 5 43 28 50 50 43 0 27 50 5 9 49 50 30 50 23 44 50 50 50 6 43 50 50 41 ]
[ 50 11 33 50 48 2 5 50 50 50 50 50 20 50 50 32 39 27 0 50 11 50 16 50 9 25 50 50 23 50 50 50 41 46 50 50 ]
[ 50 50 50 50 50 43 50 7 23 50 50 50 50 50 50 8 50 50 50 0 35 29 5 25 4 20 50 50 50 15 50 47 38 50 50 7 ]
[ 36 50 14 50 15 50 50 50 50 50 14 50 50 21 50 50 50 5 11 35 0 50 50 50 17 2 50 12 34 50 27 43 17 43 50 50 ]
[ 32 50 50 42 50 50 26 7 3 16 50 48 50 22 2 50 15 9 50 29 50 0 33 50 50 50 10 22 15 27 22 34 50 6 50 50 ]
[ 26 50 50 22 50 49 50 31 36 20 34 50 44 50 50 50 50 49 16 5 50 33 0 50 28 40 47 14 50 28 11 50 19 50 50 50 ]
[ 10 50 50 50 50 40 49 50 50 50 30 15 50 10 0 22 46 50 50 25 50 50 50 0 6 50 49 50 37 50 28 50 23 6 50 50 ]
[ 50 50 50 3 50 50 50 42 50 18 50 42 50 50 50 50 20 30 9 4 17 50 28 6 0 20 36 40 50 2 50 22 50 44 45 46 ]
[ 50 5 50 50 50 32 0 50 28 20 46 50 38 10 50 36 50 50 25 20 2 50 40 50 20 0 50 50 21 50 50 16 50 45 50 50 ]
[ 50 50 50 50 26 50 47 47 50 50 3 5 50 50 50 17 50 23 50 50 50 10 47 49 36 50 0 15 13 6 50 18 4 14 50 50 ]
[ 50 50 10 50 50 2 50 50 50 6 44 41 50 50 50 26 26 44 50 50 12 22 14 50 40 50 15 0 5 11 36 50 50 39 50 50 ]
[ 36 50 50 47 4 21 39 50 50 13 24 50 50 50 16 38 4 50 23 50 34 15 50 37 50 21 13 5 0 19 32 25 42 50 11 50 ]
[ 50 50 50 19 50 5 27 50 4 13 21 25 50 50 50 5 39 50 50 15 50 27 28 50 2 50 6 11 19 0 32 50 50 33 8 21 ]
[ 45 50 43 50 41 50 50 50 7 50 20 50 50 50 41 50 50 50 50 50 27 22 11 28 50 50 50 36 32 32 0 15 50 37 7 16 ]
[ 12 50 50 50 50 50 50 50 50 50 50 50 22 10 50 2 12 6 50 47 43 34 50 50 22 16 18 50 25 50 15 0 50 15 41 50 ]
[ 50 48 50 7 36 47 4 6 50 49 45 30 27 50 29 50 50 43 41 38 17 50 19 23 50 50 4 50 42 50 50 50 0 34 50 29 ]
[ 50 50 47 37 50 23 50 50 50 50 32 36 3 50 50 50 41 50 46 50 43 6 50 6 44 45 14 39 50 33 37 15 34 0 46 50 ]
[ 50 30 50 50 50 50 42 1 35 34 50 22 50 26 3 50 1 50 50 50 50 50 50 50 45 50 50 50 11 8 7 41 50 46 0 41 ]
[ 50 50 50 5 13 16 38 50 50 47 50 50 2 50 50 23 4 41 50 7 50 50 50 50 46 50 50 50 50 21 16 50 29 50 41 0 ]
];
