K=4;
N=12;
P=[888 869 817 223];
R=[42 37 9 36];
A=[3 3 2 5];
C=[28 45 49 31];
M=[
[ 0 36 47 36 74 4 1 99 64 17 97 36 ]
[ 36 0 86 53 30 70 41 18 89 1 82 40 ]
[ 47 86 0 82 89 6 1 35 91 74 12 74 ]
[ 36 53 82 0 98 59 37 79 10 39 98 17 ]
[ 74 30 89 98 0 45 73 87 67 82 77 21 ]
[ 4 70 6 59 45 0 53 51 91 21 18 81 ]
[ 1 41 1 37 73 53 0 73 8 41 62 26 ]
[ 99 18 35 79 87 51 73 0 24 21 45 100 ]
[ 64 89 91 10 67 91 8 24 0 21 48 11 ]
[ 17 1 74 39 82 21 41 21 21 0 31 59 ]
[ 97 82 12 98 77 18 62 45 48 31 0 76 ]
[ 36 40 74 17 21 81 26 100 11 59 76 0 ]
];
