K=4;
N=20;
P=[430 784 493 566];
R=[37 33 22 22];
A=[4 2 3 2];
C=[27 34 43 55];
M=[
[ 0 77 7 56 86 17 11 95 89 56 60 88 70 5 84 95 74 9 18 78 ]
[ 77 0 88 65 100 51 25 83 87 46 35 12 15 53 49 92 98 37 93 8 ]
[ 7 88 0 51 15 42 98 56 62 42 44 93 52 6 26 19 92 1 24 79 ]
[ 56 65 51 0 97 100 3 29 15 73 29 36 93 2 75 23 17 26 61 40 ]
[ 86 100 15 97 0 47 90 90 71 45 89 44 77 27 57 96 39 47 29 95 ]
[ 17 51 42 100 47 0 39 39 8 31 84 13 18 89 27 52 32 68 42 78 ]
[ 11 25 98 3 90 39 0 81 85 2 63 14 16 74 49 75 52 34 45 99 ]
[ 95 83 56 29 90 39 81 0 62 22 68 27 100 97 2 41 85 24 82 96 ]
[ 89 87 62 15 71 8 85 62 0 8 94 14 96 8 12 90 70 89 49 56 ]
[ 56 46 42 73 45 31 2 22 8 0 82 68 42 21 17 1 16 34 85 41 ]
[ 60 35 44 29 89 84 63 68 94 82 0 95 79 96 8 1 50 61 5 32 ]
[ 88 12 93 36 44 13 14 27 14 68 95 0 78 14 83 77 83 67 19 70 ]
[ 70 15 52 93 77 18 16 100 96 42 79 78 0 68 21 27 14 18 83 83 ]
[ 5 53 6 2 27 89 74 97 8 21 96 14 68 0 65 9 46 75 16 25 ]
[ 84 49 26 75 57 27 49 2 12 17 8 83 21 65 0 38 13 37 63 42 ]
[ 95 92 19 23 96 52 75 41 90 1 1 77 27 9 38 0 4 52 89 76 ]
[ 74 98 92 17 39 32 52 85 70 16 50 83 14 46 13 4 0 2 87 89 ]
[ 9 37 1 26 47 68 34 24 89 34 61 67 18 75 37 52 2 0 51 0 ]
[ 18 93 24 61 29 42 45 82 49 85 5 19 83 16 63 89 87 51 0 27 ]
[ 78 8 79 40 95 78 99 96 56 41 32 70 83 25 42 76 89 0 27 0 ]
];
