K=6;
N=14;
P=[67 59 38 57 16 35];
R=[34 18 29 23 32 29];
A=[3 5 2 3 3 2];
C=[36 22 46 46 26 45];
M=[
[ 0 50 21 50 20 36 50 4 18 50 14 5 19 29 ]
[ 50 0 50 37 40 50 22 39 50 50 15 50 50 20 ]
[ 21 50 0 50 37 50 50 33 50 32 3 35 50 43 ]
[ 50 37 50 0 50 27 20 33 50 50 6 29 2 27 ]
[ 20 40 37 50 0 50 6 50 50 50 50 16 0 6 ]
[ 36 50 50 27 50 0 50 50 45 50 10 27 50 19 ]
[ 50 22 50 20 6 50 0 7 15 50 50 50 50 50 ]
[ 4 39 33 33 50 50 7 0 30 44 42 50 50 50 ]
[ 18 50 50 50 50 45 15 30 0 50 50 50 50 21 ]
[ 50 50 32 50 50 50 50 44 50 0 9 20 12 50 ]
[ 14 15 3 6 50 10 50 42 50 9 0 26 16 30 ]
[ 5 50 35 29 16 27 50 50 50 20 26 0 17 50 ]
[ 19 50 50 2 0 50 50 50 50 12 16 17 0 50 ]
[ 29 20 43 27 6 19 50 50 21 50 30 50 50 0 ]
];
