K=8;
N=28;
P=[770 749 391 284 201 250 282 549];
R=[36 9 19 30 42 31 40 39];
A=[4 6 5 2 3 6 6 2];
C=[60 64 26 21 66 61 47 35];
M=[
[ 0 43 98 43 47 69 27 34 67 3 70 66 5 91 7 15 85 5 36 56 77 82 96 47 41 32 52 53 ]
[ 43 0 88 90 51 65 80 8 39 98 50 36 48 23 100 20 88 70 79 63 13 34 20 92 92 86 21 96 ]
[ 98 88 0 54 80 51 18 84 43 70 21 16 78 13 54 77 80 58 81 8 28 1 26 12 39 16 14 72 ]
[ 43 90 54 0 27 84 46 7 72 29 53 21 73 42 49 73 98 82 86 99 44 44 36 17 67 67 6 8 ]
[ 47 51 80 27 0 40 37 61 1 34 72 13 81 12 59 58 88 49 95 24 89 31 29 50 95 88 25 43 ]
[ 69 65 51 84 40 0 63 11 8 60 68 88 12 33 33 94 90 33 47 15 80 66 29 21 17 60 14 26 ]
[ 27 80 18 46 37 63 0 81 6 91 81 49 65 4 96 56 25 24 55 16 80 87 28 38 49 41 18 77 ]
[ 34 8 84 7 61 11 81 0 29 27 8 79 45 73 80 43 47 50 44 65 20 66 24 44 47 20 13 17 ]
[ 67 39 43 72 1 8 6 29 0 74 82 39 76 84 75 80 24 49 81 29 66 61 9 13 66 29 18 11 ]
[ 3 98 70 29 34 60 91 27 74 0 46 15 35 22 40 16 58 19 77 88 50 25 4 29 71 6 34 85 ]
[ 70 50 21 53 72 68 81 8 82 46 0 22 25 51 56 62 47 36 37 80 78 11 30 88 87 79 28 3 ]
[ 66 36 16 21 13 88 49 79 39 15 22 0 92 26 13 31 84 11 60 22 99 25 18 77 51 41 99 31 ]
[ 5 48 78 73 81 12 65 45 76 35 25 92 0 25 64 68 11 33 89 10 50 48 94 38 60 93 75 88 ]
[ 91 23 13 42 12 33 4 73 84 22 51 26 25 0 61 79 22 84 32 5 83 51 49 53 55 53 68 37 ]
[ 7 100 54 49 59 33 96 80 75 40 56 13 64 61 0 56 45 26 95 57 52 84 17 84 94 23 29 29 ]
[ 15 20 77 73 58 94 56 43 80 16 62 31 68 79 56 0 50 35 54 74 47 91 92 8 94 5 42 29 ]
[ 85 88 80 98 88 90 25 47 24 58 47 84 11 22 45 50 0 50 72 3 100 58 99 18 95 20 47 25 ]
[ 5 70 58 82 49 33 24 50 49 19 36 11 33 84 26 35 50 0 74 75 28 84 14 94 83 49 74 76 ]
[ 36 79 81 86 95 47 55 44 81 77 37 60 89 32 95 54 72 74 0 81 76 64 61 55 58 4 92 78 ]
[ 56 63 8 99 24 15 16 65 29 88 80 22 10 5 57 74 3 75 81 0 6 72 4 65 7 75 39 39 ]
[ 77 13 28 44 89 80 80 20 66 50 78 99 50 83 52 47 100 28 76 6 0 52 89 98 0 41 6 64 ]
[ 82 34 1 44 31 66 87 66 61 25 11 25 48 51 84 91 58 84 64 72 52 0 70 77 64 46 69 35 ]
[ 96 20 26 36 29 29 28 24 9 4 30 18 94 49 17 92 99 14 61 4 89 70 0 39 68 96 66 44 ]
[ 47 92 12 17 50 21 38 44 13 29 88 77 38 53 84 8 18 94 55 65 98 77 39 0 32 48 62 1 ]
[ 41 92 39 67 95 17 49 47 66 71 87 51 60 55 94 94 95 83 58 7 0 64 68 32 0 41 59 40 ]
[ 32 86 16 67 88 60 41 20 29 6 79 41 93 53 23 5 20 49 4 75 41 46 96 48 41 0 95 25 ]
[ 52 21 14 6 25 14 18 13 18 34 28 99 75 68 29 42 47 74 92 39 6 69 66 62 59 95 0 34 ]
[ 53 96 72 8 43 26 77 17 11 85 3 31 88 37 29 29 25 76 78 39 64 35 44 1 40 25 34 0 ]
];
