K=8;
N=32;
P=[570 809 408 902 383 848 472 340];
R=[42 24 12 34 34 39 31 26];
A=[4 2 5 6 2 6 6 5];
C=[40 31 37 21 48 56 59 36];
M=[
[ 0 19 26 64 77 44 36 72 38 12 1 41 100 55 23 66 62 31 8 87 71 43 90 38 38 65 28 31 27 53 68 24 ]
[ 19 0 56 61 34 6 33 18 63 4 93 35 20 33 15 5 78 32 79 7 36 16 66 35 87 23 89 33 63 24 34 64 ]
[ 26 56 0 43 39 95 44 50 21 7 44 72 25 37 59 71 80 14 5 87 66 54 91 58 31 1 93 8 99 99 0 38 ]
[ 64 61 43 0 50 34 7 39 89 72 93 68 91 41 32 68 29 84 55 98 0 15 78 50 95 64 9 53 73 84 23 77 ]
[ 77 34 39 50 0 56 57 56 39 97 11 49 31 81 86 40 74 95 8 51 15 60 9 42 46 37 67 49 67 73 48 97 ]
[ 44 6 95 34 56 0 20 24 51 58 34 93 45 72 79 76 52 73 40 24 100 4 100 92 16 74 52 82 92 91 3 88 ]
[ 36 33 44 7 57 20 0 58 64 80 27 47 23 44 15 72 98 1 20 75 50 63 83 26 23 91 37 54 74 70 58 68 ]
[ 72 18 50 39 56 24 58 0 3 72 68 64 5 41 65 65 4 70 25 76 62 4 14 52 25 32 75 43 5 82 61 57 ]
[ 38 63 21 89 39 51 64 3 0 6 85 47 13 48 77 100 34 0 49 81 63 81 88 13 21 37 80 94 86 70 40 10 ]
[ 12 4 7 72 97 58 80 72 6 0 51 38 82 28 63 9 0 49 86 17 28 42 55 23 100 34 4 64 49 77 61 87 ]
[ 1 93 44 93 11 34 27 68 85 51 0 2 4 79 44 47 55 86 62 63 56 10 21 19 9 47 81 28 54 10 6 72 ]
[ 41 35 72 68 49 93 47 64 47 38 2 0 96 40 25 56 37 5 30 86 60 83 86 49 88 39 15 52 4 5 49 10 ]
[ 100 20 25 91 31 45 23 5 13 82 4 96 0 7 9 27 85 43 69 47 25 48 35 60 42 98 64 69 10 83 62 34 ]
[ 55 33 37 41 81 72 44 41 48 28 79 40 7 0 68 59 85 43 54 100 42 55 67 52 45 97 29 60 79 10 68 32 ]
[ 23 15 59 32 86 79 15 65 77 63 44 25 9 68 0 42 72 64 64 5 10 86 49 52 95 73 6 99 96 79 36 73 ]
[ 66 5 71 68 40 76 72 65 100 9 47 56 27 59 42 0 11 76 59 10 84 99 89 86 100 80 75 82 5 96 90 82 ]
[ 62 78 80 29 74 52 98 4 34 0 55 37 85 85 72 11 0 58 28 78 95 36 4 81 89 50 43 85 88 79 78 61 ]
[ 31 32 14 84 95 73 1 70 0 49 86 5 43 43 64 76 58 0 68 19 25 77 89 37 30 62 2 31 42 33 78 34 ]
[ 8 79 5 55 8 40 20 25 49 86 62 30 69 54 64 59 28 68 0 78 61 63 63 45 53 57 99 2 36 37 3 51 ]
[ 87 7 87 98 51 24 75 76 81 17 63 86 47 100 5 10 78 19 78 0 67 39 54 7 63 1 84 39 28 36 17 65 ]
[ 71 36 66 0 15 100 50 62 63 28 56 60 25 42 10 84 95 25 61 67 0 72 100 17 56 51 58 41 18 94 78 62 ]
[ 43 16 54 15 60 4 63 4 81 42 10 83 48 55 86 99 36 77 63 39 72 0 50 7 73 65 61 28 67 36 86 78 ]
[ 90 66 91 78 9 100 83 14 88 55 21 86 35 67 49 89 4 89 63 54 100 50 0 83 61 76 5 85 77 9 24 25 ]
[ 38 35 58 50 42 92 26 52 13 23 19 49 60 52 52 86 81 37 45 7 17 7 83 0 1 24 5 70 54 91 14 49 ]
[ 38 87 31 95 46 16 23 25 21 100 9 88 42 45 95 100 89 30 53 63 56 73 61 1 0 7 34 99 55 8 58 42 ]
[ 65 23 1 64 37 74 91 32 37 34 47 39 98 97 73 80 50 62 57 1 51 65 76 24 7 0 97 50 30 48 97 19 ]
[ 28 89 93 9 67 52 37 75 80 4 81 15 64 29 6 75 43 2 99 84 58 61 5 5 34 97 0 12 85 62 64 4 ]
[ 31 33 8 53 49 82 54 43 94 64 28 52 69 60 99 82 85 31 2 39 41 28 85 70 99 50 12 0 31 42 95 32 ]
[ 27 63 99 73 67 92 74 5 86 49 54 4 10 79 96 5 88 42 36 28 18 67 77 54 55 30 85 31 0 10 93 80 ]
[ 53 24 99 84 73 91 70 82 70 77 10 5 83 10 79 96 79 33 37 36 94 36 9 91 8 48 62 42 10 0 100 88 ]
[ 68 34 0 23 48 3 58 61 40 61 6 49 62 68 36 90 78 78 3 17 78 86 24 14 58 97 64 95 93 100 0 6 ]
[ 24 64 38 77 97 88 68 57 10 87 72 10 34 32 73 82 61 34 51 65 62 78 25 49 42 19 4 32 80 88 6 0 ]
];
