K=8;
N=40;
P=[247 463 869 929 558 546 844 462];
R=[21 7 2 24 15 41 19 2];
A=[2 3 3 6 6 5 2 3];
C=[47 64 69 33 65 37 63 40];
M=[
[ 0 48 96 86 88 30 83 82 48 5 38 63 52 29 80 65 22 21 77 57 38 35 25 91 22 7 13 95 39 19 30 55 61 79 25 85 46 6 72 48 ]
[ 48 0 58 97 41 8 37 54 48 85 11 95 83 22 54 34 72 7 56 4 40 64 14 53 0 39 11 98 89 4 56 96 39 11 81 61 73 39 5 25 ]
[ 96 58 0 8 91 99 49 29 99 36 99 5 12 53 24 63 77 87 54 25 53 57 29 98 60 49 57 57 99 56 100 67 71 70 86 87 20 93 64 81 ]
[ 86 97 8 0 92 91 35 96 9 52 19 31 89 39 81 48 54 80 38 33 54 56 57 52 75 64 11 16 63 10 73 85 81 50 45 6 27 29 98 3 ]
[ 88 41 91 92 0 99 97 44 89 65 85 60 65 90 15 33 41 57 61 67 49 88 96 38 58 14 43 64 94 69 27 67 10 43 44 93 96 45 21 12 ]
[ 30 8 99 91 99 0 31 94 76 21 35 67 98 97 30 40 47 92 46 75 28 87 18 7 21 96 14 11 98 31 38 7 69 36 83 100 38 85 0 19 ]
[ 83 37 49 35 97 31 0 58 49 27 35 33 38 78 71 24 73 99 19 16 34 49 23 69 99 25 98 47 90 63 4 27 56 59 51 25 41 32 35 61 ]
[ 82 54 29 96 44 94 58 0 44 62 5 34 79 23 42 19 69 70 27 88 4 12 60 84 92 61 49 36 90 12 53 11 72 36 80 54 22 69 51 45 ]
[ 48 48 99 9 89 76 49 44 0 45 76 25 34 34 15 46 95 66 67 92 86 15 59 14 86 90 12 69 50 92 52 12 1 7 26 8 21 51 35 30 ]
[ 5 85 36 52 65 21 27 62 45 0 23 19 53 29 47 40 7 37 11 38 62 8 62 33 20 90 19 35 40 76 34 60 15 88 0 6 65 99 39 64 ]
[ 38 11 99 19 85 35 35 5 76 23 0 28 29 100 41 28 64 22 91 34 38 72 72 80 52 27 79 91 45 10 56 29 1 56 32 29 84 21 5 88 ]
[ 63 95 5 31 60 67 33 34 25 19 28 0 47 16 52 32 36 64 33 30 9 64 93 84 12 25 75 58 35 69 43 58 49 19 52 93 76 14 42 28 ]
[ 52 83 12 89 65 98 38 79 34 53 29 47 0 4 47 88 74 86 68 30 57 87 31 84 62 78 16 19 75 98 96 1 85 75 83 77 76 83 54 97 ]
[ 29 22 53 39 90 97 78 23 34 29 100 16 4 0 61 10 9 83 66 69 62 66 9 25 32 91 68 35 24 75 54 69 48 51 95 82 3 33 65 95 ]
[ 80 54 24 81 15 30 71 42 15 47 41 52 47 61 0 28 0 90 20 65 72 98 99 22 36 99 96 51 31 49 18 78 87 78 29 83 47 10 77 34 ]
[ 65 34 63 48 33 40 24 19 46 40 28 32 88 10 28 0 64 27 57 70 78 30 0 1 96 64 21 35 45 40 95 69 4 89 73 45 14 63 33 11 ]
[ 22 72 77 54 41 47 73 69 95 7 64 36 74 9 0 64 0 18 45 37 13 45 93 79 24 44 81 26 63 50 62 30 90 47 24 68 46 79 43 43 ]
[ 21 7 87 80 57 92 99 70 66 37 22 64 86 83 90 27 18 0 56 90 25 63 79 55 0 88 43 3 8 19 50 3 70 9 99 77 59 43 58 38 ]
[ 77 56 54 38 61 46 19 27 67 11 91 33 68 66 20 57 45 56 0 63 32 87 9 87 91 71 33 50 16 69 15 73 83 61 55 66 23 11 8 4 ]
[ 57 4 25 33 67 75 16 88 92 38 34 30 30 69 65 70 37 90 63 0 70 60 25 88 56 63 73 3 53 59 17 6 40 66 88 40 72 64 22 75 ]
[ 38 40 53 54 49 28 34 4 86 62 38 9 57 62 72 78 13 25 32 70 0 13 100 12 47 24 4 57 26 55 24 51 61 34 29 62 46 33 25 1 ]
[ 35 64 57 56 88 87 49 12 15 8 72 64 87 66 98 30 45 63 87 60 13 0 16 65 77 54 69 27 0 34 24 46 13 16 56 90 97 64 48 34 ]
[ 25 14 29 57 96 18 23 60 59 62 72 93 31 9 99 0 93 79 9 25 100 16 0 43 46 44 79 27 28 31 2 95 10 56 60 16 75 41 78 40 ]
[ 91 53 98 52 38 7 69 84 14 33 80 84 84 25 22 1 79 55 87 88 12 65 43 0 24 99 89 49 52 83 30 42 25 10 27 87 30 31 22 98 ]
[ 22 0 60 75 58 21 99 92 86 20 52 12 62 32 36 96 24 0 91 56 47 77 46 24 0 50 1 65 46 38 67 50 92 21 62 72 66 36 25 32 ]
[ 7 39 49 64 14 96 25 61 90 90 27 25 78 91 99 64 44 88 71 63 24 54 44 99 50 0 12 25 82 32 4 38 8 77 29 36 37 38 37 42 ]
[ 13 11 57 11 43 14 98 49 12 19 79 75 16 68 96 21 81 43 33 73 4 69 79 89 1 12 0 9 47 49 25 31 83 84 87 62 85 91 30 47 ]
[ 95 98 57 16 64 11 47 36 69 35 91 58 19 35 51 35 26 3 50 3 57 27 27 49 65 25 9 0 26 29 41 21 33 91 9 49 24 45 4 57 ]
[ 39 89 99 63 94 98 90 90 50 40 45 35 75 24 31 45 63 8 16 53 26 0 28 52 46 82 47 26 0 77 73 9 80 59 21 27 74 92 16 70 ]
