K = 14;

P = [ 22 21 21 25 30 25 3 50 31 30 47 3 19 42 ];
R = [ 41 36 14 18 13 13 6 39 49 47 12 24 31 32 ];
A = [ 4 6 4 2 6 6 6 5 5 4 6 3 5 5 ];
C = [ 6 24 25 12 15 1 29 2 11 10 25 29 19 25 ];
N = 17;

M = [
    [ 0 50 50 15 50 50 50 50 43 18 50 50 50 29 37 50 41 ]
    [ 50 0 42 12 50 34 50 50 50 50 8 50 35 10 50 50 50 ]
    [ 50 42 0 50 50 44 47 50 50 50 50 23 36 19 24 9 50 ]
    [ 15 12 50 0 16 50 50 13 40 38 46 26 22 50 3 50 50 ]
    [ 50 50 50 16 0 50 50 10 23 50 50 50 50 8 18 50 50 ]
    [ 50 34 44 50 50 0 9 50 45 45 50 50 50 50 25 48 17 ]
    [ 50 50 47 50 50 9 0 50 50 50 4 50 17 50 50 50 50 ]
    [ 50 50 50 13 10 50 50 0 50 44 26 5 50 35 38 50 50 ]
    [ 43 50 50 40 23 45 50 50 0 10 50 50 50 50 11 37 50 ]
    [ 18 50 50 38 50 45 50 44 10 0 9 50 13 50 50 9 2 ]
    [ 50 8 50 46 50 50 4 26 50 9 0 34 50 50 50 33 50 ]
    [ 50 50 23 26 50 50 50 5 50 50 34 0 50 11 50 46 50 ]
    [ 50 35 36 22 50 50 17 50 50 13 50 50 0 50 32 50 50 ]
    [ 29 10 19 50 8 50 50 35 50 50 50 11 50 0 10 50 50 ]
    [ 37 50 24 3 18 25 50 38 11 50 50 50 32 10 0 50 38 ]
    [ 50 50 9 50 50 48 50 50 37 9 33 46 50 50 50 0 20 ]
    [ 41 50 50 50 50 17 50 50 50 2 50 50 50 50 38 20 0 ]
];
