K = 12;

P = [ 8 22 30 4 9 49 25 23 35 44 26 20 ];
R = [ 7 37 17 20 29 48 28 40 34 30 38 35 ];
A = [ 2 3 5 4 4 4 3 4 2 4 4 3 ];
C = [ 26 4 21 12 7 6 1 26 29 24 14 11 ];
N = 16;

M = [
    [ 0 50 50 50 50 50 50 36 44 50 6 50 36 38 50 36 ]
    [ 50 0 25 46 50 25 28 18 50 7 30 50 50 1 50 50 ]
    [ 50 25 0 50 50 42 50 50 29 50 50 50 45 31 5 50 ]
    [ 50 46 50 0 28 10 42 50 50 50 46 35 50 48 4 50 ]
    [ 50 50 50 28 0 50 50 50 50 9 42 34 50 50 29 31 ]
    [ 50 25 42 10 50 0 50 25 50 9 1 50 6 17 46 50 ]
    [ 50 28 50 42 50 50 0 50 40 47 50 37 50 45 50 50 ]
    [ 36 18 50 50 50 25 50 0 40 50 50 50 50 28 45 50 ]
    [ 44 50 29 50 50 50 40 40 0 6 50 19 10 19 32 4 ]
    [ 50 7 50 50 9 9 47 50 6 0 8 42 1 19 45 50 ]
    [ 6 30 50 46 42 1 50 50 50 8 0 50 33 50 50 50 ]
    [ 50 50 50 35 34 50 37 50 19 42 50 0 17 50 45 41 ]
    [ 36 50 45 50 50 6 50 50 10 1 33 17 0 37 14 36 ]
    [ 38 1 31 48 50 17 45 28 19 19 50 50 37 0 11 50 ]
    [ 50 50 5 4 29 46 50 45 32 45 50 45 14 11 0 50 ]
    [ 36 50 50 50 31 50 50 50 4 50 50 41 36 50 50 0 ]
];
