K = 3;

P = [ 49 38 20 ];
R = [ 24 45 5 ];
A = [ 2 3 4 ];
C = [ 15 9 11 ];
N = 13;

M = [
    [ 0 50 50 27 2 50 7 36 50 50 50 50 50 ]
    [ 50 0 45 50 50 10 50 12 36 50 35 50 50 ]
    [ 50 45 0 25 50 50 50 50 32 28 50 12 50 ]
    [ 27 50 25 0 30 50 50 27 50 50 50 50 4 ]
    [ 2 50 50 30 0 50 39 50 44 50 49 50 46 ]
    [ 50 10 50 50 50 0 35 50 14 50 50 50 12 ]
    [ 7 50 50 50 39 35 0 50 50 13 50 33 50 ]
    [ 36 12 50 27 50 50 50 0 50 50 48 9 23 ]
    [ 50 36 32 50 44 14 50 50 0 46 4 11 26 ]
    [ 50 50 28 50 50 50 13 50 46 0 50 50 49 ]
    [ 50 35 50 50 49 50 50 48 4 50 0 50 50 ]
    [ 50 50 12 50 50 50 33 9 11 50 50 0 50 ]
    [ 50 50 50 4 46 12 50 23 26 49 50 50 0 ]
];
